s_g,s_c,s_da,s_s,s_so,s_r,d_g,d_c,d_da,d_s,d_so,goal,goal_diff,oddsU,probU,probU_diff,gl,s_prob,mod0,mod25,mod50,mod75,pl_u
1,10,70,16,8,0,1,8,42,6,0,2.75,1.75,1.8,0.53246753246753,0.032467532467532,2.25,1.0433604336043,0,0,0,1,0.8
0,7,52,8,3,0,0,1,6,4,3,1.25,1.25,1.875,0.50657894736842,0.0065789473684211,2.25,1.0528138528139,0,1,0,0,0.4375
0,3,66,12,4,0,0,1,14,4,2,1.25,1.25,1.825,0.51973684210526,0.019736842105263,2.25,1.0542743194035,0,1,0,0,0.4125
1,3,55,9,4,0,1,3,31,7,2,2,1,2.2,0.43589743589744,0.064102564102564,2,1.0427807486631,1,0,0,0,0
2,7,77,8,5,0,0,1,1,2,1,3.25,1.25,1.825,0.52597402597403,0.025974025974026,2.75,1.0417723659733,0,1,0,0,0.825
2,5,95,14,8,0,2,5,27,8,6,4,2,1.825,0.51973684210526,0.019736842105263,3.5,1.0542743194035,1,0,0,0,-1
1,8,64,3,1,0,1,8,24,3,1,2.25,1.25,2.05,0.46052631578947,0.039473684210526,2.75,1.0592334494774,0,1,0,0,0.525
1,5,89,10,5,0,1,5,45,4,1,2.5,1.5,2.025,0.46710526315789,0.032894736842105,2.25,1.057207442184,0,0,1,0,1.025
1,4,23,1,1,0,1,2,7,1,1,2,1,2.025,0.46710526315789,0.032894736842105,2,1.057207442184,1,0,0,0,0
1,7,68,12,7,2,1,5,34,2,5,2.5,1.5,1.775,0.53289473684211,0.032894736842105,2.5,1.057207442184,0,0,1,0,-1
1,9,62,7,2,0,1,3,8,1,2,2,1,2.025,0.47402597402597,0.025974025974026,2,1.0417723659733,1,0,0,0,1.025
3,2,65,9,4,0,1,2,7,3,0,4.5,1.5,1.9,0.50649350649351,0.0064935064935064,2.25,1.0391363022942,0,0,1,0,-1
1,2,47,8,5,0,1,0,29,6,3,2.5,1.5,1.8,0.53246753246753,0.032467532467532,2.5,1.0433604336043,0,0,1,0,0.8
0,2,54,11,4,0,0,0,10,5,2,1,1,1.975,0.48701298701299,0.012987012987013,2.5,1.0396624472574,1,0,0,0,0
1,4,68,16,5,0,1,2,0,2,1,2.5,1.5,1.75,0.53947368421053,0.039473684210526,2.5,1.0592334494774,0,0,1,0,-1
2,5,81,6,4,0,2,5,27,2,0,3.25,1.25,1.8,0.52631578947368,0.026315789473684,2.5,1.0555555555556,0,1,0,0,0.8
1,8,71,11,3,0,1,6,27,7,1,3,2,1.8,0.52631578947368,0.026315789473684,3.25,1.0555555555556,1,0,0,0,0.8
1,4,83,7,4,0,1,2,11,5,2,2.75,1.75,1.775,0.53289473684211,0.032894736842105,3.25,1.057207442184,0,0,0,1,0.775
0,5,68,11,4,0,0,5,10,1,0,1.75,1.75,1.825,0.51973684210526,0.019736842105263,3.25,1.0542743194035,0,0,0,1,0.825
0,6,96,16,3,0,0,4,28,4,1,1.25,1.25,1.95,0.48684210526316,0.013157894736842,2.5,1.0533610533611,0,1,0,0,0.95
2,5,68,20,8,0,2,1,24,10,2,3.25,1.25,2.05,0.46052631578947,0.039473684210526,2.25,1.0592334494774,0,1,0,0,-1
2,4,60,7,4,0,2,0,12,1,0,4.25,2.25,1.75,0.53947368421053,0.039473684210526,3.25,1.0592334494774,0,1,0,0,0.75
1,3,39,10,4,0,1,1,11,2,2,2.5,1.5,1.925,0.49342105263158,0.006578947368421,3,1.0528138528139,0,0,1,0,0.925
2,1,61,5,4,0,2,1,19,3,2,3.75,1.75,1.825,0.51973684210526,0.019736842105263,3,1.0542743194035,0,0,0,1,-0.5
1,8,44,1,1,0,1,6,8,1,1,2.25,1.25,1.875,0.50657894736842,0.0065789473684211,2.5,1.0528138528139,0,1,0,0,-1
0,9,27,11,2,0,0,1,5,3,0,1.25,1.25,1.875,0.50657894736842,0.0065789473684211,2.5,1.0528138528139,0,1,0,0,-1
1,1,77,9,4,0,1,1,7,1,0,2.5,1.5,2.025,0.47402597402597,0.025974025974026,2.75,1.0417723659733,0,0,1,0,-1
1,5,39,8,4,0,1,1,17,4,2,2.25,1.25,1.775,0.54193548387097,0.041935483870968,2.25,1.0395707578806,0,1,0,0,0.3875
0,1,54,5,0,0,0,1,6,1,0,1.25,1.25,1.725,0.55483870967742,0.054838709677419,2.5,1.0448264239973,0,1,0,0,0.3625
2,4,47,7,3,0,2,4,15,5,3,3.5,1.5,1.9,0.50649350649351,0.0064935064935064,2.75,1.0391363022942,0,0,1,0,0.9
2,2,41,15,8,0,0,2,7,1,2,3.5,1.5,1.825,0.52597402597403,0.025974025974026,2.5,1.0417723659733,0,0,1,0,0.825
2,7,39,10,4,0,2,1,3,2,4,4,2,1.84,0.52820512820513,0.028205128205128,3.25,1.0289151540734,1,0,0,0,0
0,6,41,10,2,0,0,0,3,0,2,1.25,1.25,2,0.48051948051948,0.01948051948052,2.75,1.0405405405405,0,1,0,0,-1
0,10,57,17,6,0,0,4,3,3,0,1.5,1.5,2.025,0.47402597402597,0.025974025974026,2.75,1.0417723659733,0,0,1,0,-1
0,9,118,14,8,0,0,3,64,6,4,1.75,1.75,1.9,0.50649350649351,0.0064935064935064,3,1.0391363022942,0,0,0,1,0.9
1,4,62,8,4,0,1,4,2,2,2,2.5,1.5,1.75,0.53947368421053,0.039473684210526,2.5,1.0592334494774,0,0,1,0,-1
